City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Alta Floresta,92,BR,1546882746,84,-9.87,-56.08,80.83,2.57
Castro,75,CL,1546880400,87,-42.48,-73.76,53.6,17.22
Okhotsk,0,RU,1546882747,100,59.36,143.24,-21.51,8.39
Casas Grandes,20,MX,1546882747,89,30.15,-110.24,50.09,2.91
Cockburn Town,0,TC,1546882747,98,21.46,-71.14,79.39,12.75
Ancud,75,CL,1546880400,87,-41.87,-73.83,53.6,17.22
Krasnogorskoye,64,RU,1546882747,80,57.7,52.5,6.04,9.17
Labuhan,88,ID,1546882748,93,-2.54,115.51,74.48,0.56
Gat,0,SN,1546880400,11,14.69,-16.54,89.6,4.7
Beloha,20,MG,1546882748,91,-25.17,45.06,73.85,3.13
Talnakh,48,RU,1546882748,68,69.49,88.39,1.36,6.71
Lavrentiya,0,RU,1546882748,96,65.58,-170.99,2.71,21.59
Tasiilaq,75,GL,1546879800,49,65.61,-37.64,23.0,15.43
Cabo San Lucas,75,MX,1546879320,83,22.89,-109.91,73.4,2.24
Shahr-e Babak,92,IR,1546882749,59,30.12,55.12,50.45,14.32
Butaritari,76,KI,1546882749,100,3.07,172.79,80.78,11.97
Kodiak,1,US,1546880100,58,39.95,-94.76,53.24,16.11
Port Elizabeth,1,US,1546880160,39,39.31,-74.98,35.06,5.82
Sao Domingos,24,BR,1546882750,59,-13.4,-46.32,85.69,3.58
Yellowknife,40,CA,1546880400,74,62.45,-114.38,-22.01,6.93
Ayan,48,TR,1546882750,52,40.67,33.6,-2.52,1.57
Turinsk,0,RU,1546882750,78,58.04,63.7,10.72,8.16
Thompson,90,CA,1546880400,85,55.74,-97.86,19.4,4.7
San Patricio,80,PY,1546882751,93,-26.98,-56.83,78.22,6.26
New Norfolk,75,AU,1546880400,87,-42.78,147.06,57.2,1.45
Ayr,40,GB,1546881600,66,55.46,-4.63,50.0,28.86
Livanatai,40,GR,1546881600,100,38.72,23.05,33.8,6.93
Nantucket,1,US,1546880160,50,41.28,-70.1,28.04,21.92
Port Alfred,64,ZA,1546882751,80,-33.59,26.89,72.91,16.44
Prince Rupert,90,CA,1546880400,74,54.32,-130.32,28.4,6.93
Fort Nelson,75,CA,1546880400,76,58.81,-122.69,-5.81,4.7
Port Lavaca,90,US,1546881600,72,28.61,-96.63,75.02,10.29
Kruisfontein,92,ZA,1546882752,77,-34.0,24.73,68.68,6.15
Avarua,75,CK,1546880400,83,-21.21,-159.78,73.4,2.24
Isabela,32,PH,1546882752,94,10.2,122.99,69.35,2.8
Virginia Beach,75,US,1546881600,54,36.85,-75.98,48.92,9.17
Hofn,0,IS,1546880400,50,64.25,-15.21,33.8,27.51
Yar-Sale,36,RU,1546882753,96,66.83,70.83,-5.4,17.78
Souillac,90,FR,1546880400,93,45.6,-0.6,44.6,4.7
Ribeira Grande,40,PT,1546880400,82,38.52,-28.7,64.4,19.46
Lorengau,64,PG,1546882754,98,-2.02,147.27,83.75,15.66
Lipany,0,SK,1546882200,85,49.15,20.96,21.2,8.05
Esso,76,RU,1546882754,91,55.93,158.7,-2.25,3.58
Atuona,80,PF,1546882754,100,-9.8,-139.03,81.28,17.45
Bluff,92,AU,1546882754,80,-23.58,149.07,73.13,8.72
Ngorongoro,56,TZ,1546882755,93,-3.24,35.49,59.23,2.13
Villarrica,75,CL,1546880400,55,-39.28,-72.23,62.6,11.41
Narsaq,92,GL,1546882755,85,60.91,-46.05,27.64,14.43
Rabo de Peixe,75,PT,1546880400,88,37.8,-25.58,64.4,18.34
Sao Joao da Barra,0,BR,1546880400,49,-21.64,-41.05,89.6,21.92
Chilca,40,PE,1546880400,35,-13.22,-72.34,69.8,1.9
Santa Cruz,90,US,1546879980,86,36.97,-122.03,51.98,4.7
Mount Gambier,56,AU,1546880400,93,-37.83,140.78,50.0,2.24
Tuatapere,36,NZ,1546882757,98,-46.13,167.69,55.13,15.77
Ponta do Sol,12,BR,1546882757,56,-20.63,-46.0,86.41,9.84
Mayumba,56,GA,1546882757,100,-3.44,10.65,79.34,4.36
Torbay,90,CA,1546880400,74,47.66,-52.73,30.2,24.16
Burnie,44,AU,1546882757,100,-41.05,145.91,61.21,4.25
Mitchell,1,US,1546879980,69,43.71,-98.03,39.02,11.41
Nara,90,JP,1546880400,57,34.68,135.8,48.2,9.17
Ahipara,80,NZ,1546882758,100,-35.17,173.16,61.88,3.69
Esperance,40,TT,1546880400,62,10.24,-61.45,86.0,16.11
Bambous Virieux,75,MU,1546880400,88,-20.34,57.76,80.6,11.41
Isangel,48,VU,1546882758,100,-19.55,169.27,76.51,13.2
Kavieng,92,PG,1546882758,100,-2.57,150.8,84.07,11.41
Bethel,90,US,1546880160,91,60.79,-161.76,5.0,11.41
Trnava,75,SK,1546882200,67,48.38,17.59,28.4,2.24
Nowy Targ,0,PL,1546882200,85,49.48,20.03,23.0,8.05
Ibra,0,OM,1546882759,95,22.69,58.55,56.3,1.34
Dalby,90,AU,1546880400,78,-27.18,151.26,71.6,12.75
Vila Franca do Campo,75,PT,1546880400,88,37.72,-25.43,64.4,18.34
Brainerd,90,US,1546882560,98,46.36,-94.2,35.06,5.82
Castanos,32,MX,1546882668,51,26.78,-101.42,69.35,3.36
Moose Factory,1,CA,1546880400,60,51.26,-80.61,10.4,11.41
Sur,0,OM,1546882760,100,22.57,59.53,71.02,10.96
Hithadhoo,12,MV,1546882761,100,-0.6,73.08,80.38,5.26
Staroye Drozhzhanoye,48,RU,1546882761,76,54.73,47.56,2.48,7.16
Salalah,40,OM,1546879800,65,17.01,54.1,77.0,4.7
Meulaboh,76,ID,1546882761,100,4.14,96.13,78.49,3.91
Santa Maria,68,BR,1546882612,74,-29.69,-53.81,82.09,24.94
Flinders,90,AU,1546880400,100,-34.58,150.85,68.0,4.7
Batagay,8,RU,1546882762,0,67.65,134.64,-52.24,3.24
Namatanai,92,PG,1546882763,100,-3.66,152.44,82.58,13.42
Longyearbyen,75,NO,1546881600,73,78.22,15.63,24.8,26.4
Mahebourg,75,MU,1546880400,88,-20.41,57.7,80.6,11.41
Letterkenny,40,IE,1546881600,81,54.95,-7.73,50.0,9.17
Mar del Plata,92,AR,1546882726,43,-46.43,-67.52,66.74,23.82
Aswan,0,EG,1546882763,75,24.09,32.9,46.31,6.6
Cherskiy,0,RU,1546882764,39,68.75,161.3,-25.51,2.57
Ilulissat,75,GL,1546879800,78,69.22,-51.1,17.6,8.05
Teya,20,MX,1546879500,44,21.05,-89.07,80.6,4.7
Comodoro Rivadavia,75,AR,1546880400,21,-45.87,-67.48,71.6,19.46
Dutse,20,NG,1546882764,28,11.76,9.34,69.94,8.95
Taman,75,RU,1546880400,93,45.22,36.72,35.6,8.95
Gizo,40,IL,1546881600,54,31.8,34.94,60.8,13.87
Kamaishi,0,JP,1546882765,91,39.28,141.86,28.58,7.72
Bangassou,0,CF,1546882765,73,4.74,22.82,80.06,3.36
Knysna,20,ZA,1546880400,82,-34.04,23.05,68.0,6.93
Honiara,20,SB,1546882765,100,-9.43,159.96,72.73,2.57
Jidong,0,CN,1546882765,53,45.25,131.14,3.74,6.6
Chicama,40,PE,1546880400,69,-7.84,-79.15,80.6,11.41
Saldanha,0,PT,1546882766,79,41.42,-6.55,32.81,3.47
Kyaukse,90,MM,1546878600,88,21.6,96.13,62.6,3.36
Vila Velha,20,BR,1546880400,70,-3.71,-38.6,86.0,17.22
Patacamaya,0,BO,1546882766,39,-17.23,-67.92,65.44,6.49
Upernavik,68,GL,1546882767,100,72.79,-56.15,14.32,5.48
Tiksi,20,RU,1546882766,46,71.64,128.87,-29.02,2.68
Matveyev Kurgan,92,RU,1546882767,88,47.57,38.86,23.32,16.89
Beaverlodge,75,CA,1546880400,70,55.21,-119.43,-4.01,12.75
Ust-Barguzin,20,RU,1546882767,54,53.41,109.03,-20.16,4.36
Saint-Philippe,75,CA,1546880400,46,45.36,-73.48,10.4,3.47
Khatanga,24,RU,1546882767,32,71.98,102.47,-22.05,12.08
Faanui,24,PF,1546882768,100,-16.48,-151.75,82.13,9.62
Yumen,48,CN,1546882768,86,40.29,97.04,3.11,4.47
Wakkanai,36,JP,1546882768,100,45.41,141.67,27.86,12.41
Elizabeth City,1,US,1546881600,63,36.3,-76.22,51.08,9.17
Bonavista,88,CA,1546882768,94,48.65,-53.11,32.81,23.94
Tarko-Sale,64,RU,1546882768,83,64.92,77.78,0.41,7.94
Oudtshoorn,20,ZA,1546880400,82,-33.59,22.2,68.0,6.93
Tual,24,ID,1546882769,99,-5.67,132.75,84.38,15.21
La Huaca,75,PE,1546880400,290,-4.91,-80.96,62.6,11.41
Nur,68,PL,1546882769,84,52.67,22.32,14.45,10.74
Erzin,75,TR,1546881600,70,36.95,36.2,46.4,5.82
Baijiantan,76,CN,1546882770,80,45.63,85.18,6.08,2.57
Zurrieq,0,MT,1546881300,57,35.83,14.47,50.0,2.24
Gilbues,24,BR,1546882579,29,-9.83,-45.34,95.86,6.93
Camrose,75,CA,1546880400,71,53.01,-112.84,6.8,12.75
East London,20,ZA,1546879020,78,-33.02,27.91,71.6,17.22
Aromashevo,0,RU,1546882771,75,56.86,68.64,5.45,11.18
Sao Borja,80,BR,1546882634,87,-28.66,-56.0,81.01,19.8
Carnarvon,92,ZA,1546882771,13,-30.97,22.13,81.23,6.15
Honningsvag,75,NO,1546881600,100,70.98,25.97,32.0,16.11
Kalachinsk,12,RU,1546882771,78,55.05,74.58,6.89,8.61
Linhares,0,BR,1546882771,52,-19.38,-40.06,90.68,9.17
Rujewa,20,TZ,1546882772,96,-8.7,34.38,63.95,3.36
Lasa,20,CY,1546880400,87,34.92,32.53,48.2,4.7
Kimbe,76,PG,1546882772,100,-5.56,150.15,81.37,11.41
Aden,0,YE,1546882573,100,12.79,45.03,76.64,8.39
Magadan,68,RU,1546882773,100,59.56,150.8,5.32,12.19
Kerouane,0,GN,1546882773,25,12.23,-12.34,85.19,4.47
Tuy Hoa,92,VN,1546882773,100,13.08,109.3,74.39,13.76
Barrow,24,AR,1546882773,50,-38.31,-60.23,88.93,6.38
Tooele,90,US,1546881300,94,40.53,-112.3,42.8,16.11
Gisborne,92,NZ,1546882751,92,-38.66,178.02,64.09,3.13
Petropavlovsk-Kamchatskiy,0,RU,1546880400,49,53.05,158.65,23.0,24.61
Xining,68,CN,1546882774,81,36.62,101.77,1.4,2.57
Ghatsila,0,IN,1546882774,90,22.65,86.41,54.5,5.59
Pevek,0,RU,1546882774,97,69.7,170.27,-22.05,5.26
Ampanihy,8,MG,1546882774,93,-24.69,44.75,69.71,3.69
Aitape,76,PG,1546882774,95,-3.15,142.36,80.38,12.41
Phulabani,0,IN,1546882775,77,20.47,84.23,48.97,2.13
Phayuha Khiri,44,TH,1546882775,94,15.46,100.14,72.68,3.8
Hokitika,20,NZ,1546882775,100,-42.72,170.96,58.06,9.95
Hays,1,US,1546880160,43,38.88,-99.33,48.02,17.22
Taunggyi,92,MM,1546882775,99,20.78,97.03,58.55,2.46
Dunedin,8,NZ,1546882775,82,-45.87,170.5,44.11,0.89
San Cristobal,40,EC,1546880400,49,-0.39,-78.55,69.8,8.05
Bom Jesus,32,BR,1546882497,89,-9.08,-44.36,82.09,12.41
Grandview,1,US,1546881300,48,38.89,-94.53,62.6,14.99
Moron,20,VE,1546882776,54,10.49,-68.2,82.63,3.91
San Jose,20,PH,1546882669,85,15.79,120.99,68.36,3.69
Clyde River,90,CA,1546880400,83,70.47,-68.59,-7.61,17.22
Bolgatanga,0,GH,1546882777,22,10.79,-0.85,83.93,6.71
Dingle,64,PH,1546882778,93,11.0,122.67,74.26,14.99
Abbeville,90,FR,1546880400,87,50.11,1.83,50.0,9.17
Malanje,75,AO,1546876800,83,-9.54,16.35,80.6,9.17
Micheweni,0,TZ,1546882778,98,-4.97,39.83,83.17,20.02
Acapulco,40,MX,1546879560,61,16.86,-99.88,82.4,3.36
Naliya,0,IN,1546882779,50,23.26,68.83,51.94,4.59
Xanlar,40,AZ,1546880400,76,40.56,46.33,42.8,6.93
Sokoni,20,CD,1546882779,93,-12.89,28.78,66.97,2.24
Dudinka,64,RU,1546882779,81,69.41,86.18,-2.11,7.16
Vanimo,8,PG,1546882779,100,-2.67,141.3,82.31,17.9
Tiquisio,48,CO,1546882780,71,8.56,-74.26,83.98,2.35
Puerto Colombia,40,CO,1546880400,62,10.99,-74.96,87.8,6.93
Luderitz,0,NA,1546882780,83,-26.65,15.16,63.19,16.11
Monte Alegre,36,BR,1546882780,76,-2.0,-54.07,84.11,4.14
Kahului,1,US,1546880160,87,20.89,-156.47,68.0,5.82
Ust-Nera,48,RU,1546882781,0,64.57,143.24,-48.33,1.79
Geraldton,90,CA,1546880400,79,49.72,-86.95,19.4,13.87
Bowen,90,AU,1546880400,88,-20.01,148.25,73.4,12.75
Jiangyou,56,CN,1546882781,77,31.78,104.73,27.95,3.8
Ixtapa,90,MX,1546879800,61,20.71,-105.21,77.0,3.36
Mehriz,40,IR,1546880400,39,31.58,54.44,55.4,4.7
Quatre Cocos,75,MU,1546880400,88,-20.21,57.76,80.6,11.41
Araouane,64,ML,1546882782,23,18.9,-3.53,71.47,5.59
Oktyabrskoye,75,RU,1546880400,85,56.73,85.44,15.8,13.42
Emba,20,CY,1546880400,87,34.81,32.42,48.2,4.7
Udachnyy,36,RU,1546882783,75,66.42,112.4,-12.51,4.14
Saint-Joseph,0,FR,1546880400,70,43.56,6.97,44.6,1.12
Kelvington,76,CA,1546882783,94,52.16,-103.52,19.85,16.89
Faya,0,SA,1546880400,59,18.39,42.45,60.8,4.7
Hamilton,40,BM,1546880100,59,32.3,-64.78,64.4,26.4
Paamiut,92,GL,1546882784,100,61.99,-49.67,30.65,13.53
Bassila,8,BJ,1546882784,33,9.0,1.66,84.88,3.36
Naze,44,NG,1546880400,45,5.43,7.07,84.2,1.79
Sakaraha,36,MG,1546882784,81,-22.91,44.53,73.49,3.13
Pauini,68,BR,1546882784,68,-7.71,-67.0,87.89,6.38
Simpang,75,MY,1546880400,94,4.82,100.71,77.0,3.69
Coihaique,90,CL,1546880400,87,-45.58,-72.07,48.2,3.36
Taoudenni,24,ML,1546882785,23,22.68,-3.98,62.69,8.61
Antalaha,80,MG,1546882785,100,-14.9,50.28,76.51,2.91
Kostomuksha,0,RU,1546882785,89,64.59,30.6,21.29,7.49
Lokachi,24,UA,1546882785,79,50.74,24.65,14.14,3.69
Mahibadhoo,0,MV,1546882786,100,3.78,72.97,81.82,13.2
Novoagansk,80,RU,1546882786,70,61.94,76.66,13.06,14.09
Warrenton,80,ZA,1546882774,26,-28.11,24.85,85.96,7.61
Vkhodnoy,12,RU,1546880400,83,54.95,73.17,-4.01,2.24
Daura,56,NG,1546882786,27,13.04,8.32,70.25,7.38
Hualmay,0,PE,1546882787,65,-11.1,-77.61,77.09,5.14
Biak,68,ID,1546882787,95,-0.91,122.88,79.66,3.02
Vestmannaeyjar,40,IS,1546877580,64,63.44,-20.27,37.4,20.8
Leshukonskoye,92,RU,1546882787,94,64.9,45.76,24.08,5.59
Duluth,90,US,1546881900,100,46.77,-92.13,33.98,15.66
Zhanaozen,80,KZ,1546882788,80,43.35,52.85,30.83,9.73
El Sauzal,75,AR,1546880400,61,-24.3,-64.96,82.4,8.05
Rey Bouba,0,CM,1546882788,61,8.67,14.18,72.59,2.8
Nishihara,1,JP,1546880400,63,35.74,139.53,41.0,3.13
Sai Buri,68,TH,1546882788,95,6.7,101.62,75.97,3.69
Bose,0,IT,1546881600,86,45.46,8.01,37.4,3.36
Port-Gentil,20,GA,1546880400,78,-0.72,8.78,82.4,5.82
Pakxe,32,LA,1546882789,91,15.12,105.78,72.5,2.68
Cibitoke,68,BI,1546882789,93,-2.89,29.12,63.05,2.13
Sechura,20,PE,1546882789,73,-5.56,-80.82,80.33,8.16
Ourinhos,24,BR,1546882683,55,-22.98,-49.87,89.33,16.22
Balkanabat,12,TM,1546882790,97,39.51,54.36,41.09,5.14
Beringovskiy,88,RU,1546882790,87,63.05,179.32,21.2,34.0
Hoquiam,90,US,1546879980,89,46.98,-123.89,39.92,2.57
Mende,0,FR,1546882725,78,44.52,3.5,21.88,2.35
Vysokovsk,75,RU,1546880400,85,56.32,36.55,14.0,13.42
Charters Towers,0,AU,1546882790,72,-20.07,146.27,73.09,6.15
Miracema do Tocantins,48,BR,1546882791,72,-9.56,-48.4,88.7,4.14
Bemidji,90,US,1546881360,99,47.48,-94.89,32.0,10.29
Tevaitoa,68,PF,1546882791,100,-16.78,-151.5,80.96,9.95
Nuevitas,40,CU,1546879800,61,21.55,-77.27,82.4,16.11
Najran,0,SA,1546880400,22,17.54,44.22,69.8,4.7
Kushima,0,JP,1546882791,100,31.5,131.29,39.52,6.04
Silver City,1,US,1546881300,58,32.77,-108.28,42.08,12.75
Nikolskoye,90,RU,1546880400,92,59.7,30.79,30.2,13.42
Viransehir,92,TR,1546882792,98,37.24,39.76,39.61,6.82
Tezpur,0,IN,1546882792,81,26.62,92.79,47.98,2.46
Xuzhou,36,CN,1546882792,86,34.27,117.18,27.28,3.02
Warangal,0,IN,1546882792,83,17.99,79.6,59.68,2.91
Kaitangata,0,NZ,1546882793,69,-46.28,169.85,54.01,15.21
Victoria,75,BN,1546880400,83,5.28,115.24,82.4,5.82
Narrabri,68,AU,1546880400,47,-30.33,149.78,75.2,12.75
Sena Madureira,36,BR,1546882793,64,-9.07,-68.66,88.61,3.91
Bilibino,0,RU,1546882793,51,68.06,166.44,0.28,7.61
Scottsbluff,1,US,1546879980,60,41.87,-103.67,37.04,3.36
Leningradskiy,0,RU,1546882794,99,69.38,178.42,-8.46,22.03
Zalesovo,76,RU,1546882794,82,54.0,84.74,9.59,9.17
Datong,0,CN,1546882794,55,40.09,113.3,-7.56,3.02
Alofi,92,NU,1546880400,100,-19.06,-169.92,77.0,2.24
Torbat-e Jam,92,IR,1546882794,73,35.24,60.63,42.31,6.15
Daru,8,SL,1546882795,36,7.99,-10.85,90.19,3.36
Tchollire,0,CM,1546882795,61,8.4,14.17,72.59,2.8
San Andres,0,PH,1546882795,100,13.32,122.68,78.58,20.36
Beysehir,64,TR,1546882795,100,37.68,31.72,19.13,1.34
Bandarban,40,BD,1546880400,88,22.2,92.22,68.0,1.9
Caraballeda,20,VE,1546880400,62,10.61,-66.85,87.8,6.93
Tonota,20,BW,1546880400,48,-21.44,27.46,82.4,6.93
Opuwo,24,NA,1546882796,25,-18.06,13.84,83.48,10.4
Mweka,80,CD,1546882796,85,-4.85,21.56,77.36,3.69
Fairbanks,20,US,1546880280,67,64.84,-147.72,-38.93,4.7
Atbasar,76,KZ,1546882796,82,51.81,68.36,12.65,4.59
Praia da Vitoria,75,PT,1546880400,88,38.73,-27.07,64.4,22.03
Lompoc,75,US,1546880880,93,34.64,-120.46,60.98,3.36
Loiza,40,PR,1546880160,67,18.43,-65.88,82.94,16.11
Itoman,75,JP,1546880400,60,26.12,127.67,68.0,3.36
Batagay-Alyta,48,RU,1546882797,47,67.8,130.41,-30.69,2.8
Montepuez,64,MZ,1546882798,96,-13.13,39.0,74.89,4.03
Nha Trang,40,VN,1546880400,74,12.24,109.19,80.6,10.29
Nyurba,48,RU,1546882798,78,63.29,118.35,-4.23,4.92
Berdigestyakh,44,RU,1546882798,67,62.1,126.7,-15.61,2.8
San Quintin,0,PH,1546882798,78,17.54,120.52,61.84,3.24
Bereda,0,ES,1546880400,76,43.27,-7.54,48.2,3.36
Eureka,90,US,1546880100,82,40.8,-124.16,42.98,4.7
Sampit,88,ID,1546882799,96,-2.54,112.95,73.76,7.16
Grindavik,75,IS,1546880400,69,63.84,-22.43,39.2,16.11
Marsa Matruh,40,EG,1546880400,81,31.35,27.25,51.8,4.7
Ende,68,ID,1546882799,100,-8.84,121.65,79.93,5.93
Valreas,0,FR,1546880400,65,44.38,4.99,41.0,27.51
Jalu,0,LY,1546882800,55,29.03,21.55,51.13,7.83
Griffith,32,AU,1546880400,73,-34.29,146.06,75.2,12.75
Kuryk,68,KZ,1546882800,100,43.18,51.68,31.87,11.41
Tara,0,JP,1546880400,86,33.0,130.15,39.2,3.36
Saint Anthony,90,US,1546882260,86,43.97,-111.68,30.02,23.04
Altagracia de Orituco,0,VE,1546882801,41,9.86,-66.38,91.49,12.64
Half Moon Bay,20,US,1546880400,93,37.46,-122.43,53.06,7.61
Tikapur,0,NP,1546882801,79,28.53,81.12,43.66,3.02
Port Keats,8,AU,1546882801,96,-14.25,129.55,81.68,9.4
Nicoya,0,CR,1546880400,38,10.15,-85.45,91.4,14.99
Ottumwa,90,US,1546882500,91,41.02,-92.41,55.4,16.11
Aasiaat,76,GL,1546882802,100,68.71,-52.87,18.41,13.53
Zhezkazgan,64,KZ,1546882802,78,47.8,67.71,13.42,8.5
Sao Felix do Xingu,76,BR,1546882755,84,-6.64,-51.99,77.81,2.68
Xuddur,24,SO,1546882802,28,4.12,43.89,77.86,9.17
Lagoa,0,PT,1546880400,67,37.14,-8.45,59.0,2.24
Sisimiut,80,GL,1546882803,100,66.94,-53.67,8.33,1.45
Zhigansk,44,RU,1546882803,61,66.77,123.37,-21.01,5.48
Portland,40,US,1546879260,96,45.52,-122.67,37.94,3.13
Port Lincoln,0,AU,1546882803,100,-34.72,135.86,59.77,7.72
Namibe,0,AO,1546882804,100,-15.19,12.15,74.08,10.74
Vao,92,EE,1546882889,98,59.1,26.19,33.98,5.59
Kisangani,32,CD,1546882804,98,0.52,25.21,73.49,1.34
Kirkuk,0,IQ,1546882805,79,35.47,44.4,35.96,6.38
Dubai,0,AE,1546880400,57,25.27,55.3,75.2,5.82
Ust-Tsilma,92,RU,1546882805,85,65.44,52.15,11.93,7.05
Riyadh,0,SA,1546880400,42,24.63,46.72,62.6,8.05
Ariquemes,80,BR,1546882805,87,-9.91,-63.03,79.21,3.02
Siyabuswa,24,ZA,1546882714,92,-25.11,29.06,66.29,4.7
Shediac,20,CA,1546880400,56,46.22,-64.55,15.8,18.34
Hasaki,75,JP,1546880400,79,35.73,140.83,28.4,3.36
Ekibastuz,76,KZ,1546882806,72,51.72,75.32,6.13,2.91
Zaraza,0,VE,1546882806,40,9.35,-65.33,93.97,10.18
Mudanya,75,TR,1546881600,100,40.38,28.88,33.8,4.7
Khuzhir,24,RU,1546882806,70,53.19,107.35,-17.28,1.57
Tokur,36,RU,1546882807,82,53.13,132.9,-20.61,2.35
Oksfjord,90,NO,1546881600,100,70.24,22.35,33.8,18.34
Sibolga,44,ID,1546882807,100,1.74,98.78,69.04,1.9
Epe,75,DE,1546881600,93,52.18,7.04,46.4,13.87
Kirksville,20,US,1546880100,80,40.19,-92.58,59.0,13.87
Mehamn,20,NO,1546881600,90,71.03,27.85,32.0,12.75
Egvekinot,0,RU,1546882808,0,66.32,-179.17,-43.56,2.68
Tautira,75,PF,1546882200,88,-17.73,-149.15,77.0,3.36
